job_id,salary_usd,experience_level,education_required,years_experience,required_skills,posting_date,industry
AI00079,119432,SE,PhD,6,"Scala, MLOps, NLP",2024-04-20,Technology
AI00080,284486,EX,Master,12,"PyTorch, Linux, SQL",2025-02-13,Consulting
AI00081,157597,EX,Bachelor,17,"Git, Kubernetes, TensorFlow, R, Java",2024-08-31,Manufacturing
AI00082,196942,EX,Master,19,"R, Tableau, SQL, MLOps, Docker",2024-04-01,Gaming
AI00083,207548,EX,PhD,10,"NLP, Azure, Spark, Data Visualization",2024-02-05,Energy
AI00084,68838,MI,PhD,3,"Java, SQL, Spark, Tableau, Azure",2024-06-20,Automotive
AI00085,125666,EX,PhD,13,"Docker, Python, Git, Kubernetes, Java",2024-06-19,Telecommunications
AI00086,73174,EN,Associate,0,"Git, MLOps, Hadoop, Python, Spark",2024-07-14,Finance
AI00087,33314,EN,Bachelor,0,"SQL, Kubernetes, Docker",2025-04-16,Manufacturing
AI00088,69914,EN,Associate,0,"R, NLP, SQL, GCP",2025-02-15,Transportation
AI00089,152118,EX,Master,11,"Spark, SQL, Python, Mathematics, Linux",2024-05-20,Automotive
AI00090,78014,EN,PhD,0,"PyTorch, Hadoop, Scala, Computer Vision",2024-11-19,Real Estate
AI00091,48466,EN,Bachelor,0,"Hadoop, Spark, Kubernetes, Python",2025-03-10,Automotive
AI00092,97997,SE,PhD,8,"Hadoop, Python, TensorFlow, R, Statistics",2024-06-19,Technology
AI00093,128341,SE,Bachelor,9,"Computer Vision, PyTorch, GCP, Linux",2025-04-26,Finance
AI00094,111528,MI,PhD,3,"Java, Hadoop, Mathematics",2024-03-01,Real Estate
AI00095,138945,EX,Master,19,"Linux, R, NLP, PyTorch, Git",2024-07-10,Education
AI00096,98688,SE,Bachelor,8,"Statistics, Python, TensorFlow, PyTorch, Git",2024-04-10,Manufacturing
AI00097,109029,SE,Bachelor,6,"Kubernetes, Scala, Java",2025-04-05,Technology
AI00098,84797,MI,Master,4,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",2024-12-04,Real Estate
AI00099,290199,EX,Master,12,"Python, AWS, Kubernetes, Deep Learning",2025-01-12,Retail
AI00100,195691,SE,PhD,8,"AWS, Kubernetes, Docker, Mathematics, MLOps",2024-04-20,Transportation
AI00101,193448,SE,Associate,9,"Scala, Git, Java",2025-01-02,Consulting
AI00102,138466,EX,Associate,16,"Azure, AWS, PyTorch, GCP, Hadoop",2024-01-25,Government
AI00103,91577,MI,Bachelor,3,"Spark, Mathematics, PyTorch, SQL, TensorFlow",2024-01-27,Transportation
AI00104,92875,MI,PhD,3,"SQL, Python, Deep Learning",2024-07-21,Real Estate
AI00105,213287,EX,Master,13,"TensorFlow, GCP, PyTorch, Spark",2025-03-03,Healthcare
AI00106,62171,MI,Bachelor,2,"Git, SQL, PyTorch, Mathematics",2024-09-15,Consulting
AI00107,152658,EX,Associate,16,"Data Visualization, PyTorch, Spark, TensorFlow",2024-01-28,Automotive
AI00108,95085,MI,Associate,2,"TensorFlow, SQL, NLP, Computer Vision, Git",2024-03-20,Retail
AI00109,86750,MI,PhD,2,"Java, R, Git, Mathematics, Spark",2024-12-13,Government
AI00110,64261,MI,Master,2,"PyTorch, Docker, GCP",2024-09-04,Transportation
AI00111,205357,EX,Bachelor,18,"Computer Vision, Hadoop, Git, AWS",2024-03-08,Education
AI00112,165676,EX,Associate,18,"TensorFlow, Linux, SQL, Hadoop",2024-05-13,Government
AI00113,114658,SE,Bachelor,9,"SQL, Scala, Python",2024-03-18,Telecommunications
AI00114,143149,SE,Master,6,"NLP, Computer Vision, Mathematics, Statistics, R",2024-03-13,Real Estate
AI00115,116276,SE,Bachelor,7,"Azure, R, Linux, MLOps",2024-08-14,Technology
AI00116,61055,EN,Bachelor,0,"R, AWS, Computer Vision, Statistics, Docker",2024-06-04,Retail
AI00117,50303,EN,Master,0,"Kubernetes, SQL, Azure, Deep Learning, Linux",2024-08-11,Gaming
AI00118,65570,SE,Associate,7,"PyTorch, SQL, MLOps, AWS, TensorFlow",2024-10-22,Retail
AI00119,231078,EX,Bachelor,17,"MLOps, R, Git, Mathematics",2024-04-15,Consulting
AI00120,106633,SE,Bachelor,9,"Linux, Scala, SQL, Git",2024-05-18,Automotive
AI00121,121180,SE,Master,9,"Git, Deep Learning, Kubernetes, Linux, GCP",2025-01-06,Media
AI00122,64531,EN,PhD,0,"Git, SQL, Scala, Python, Computer Vision",2025-03-26,Retail
AI00123,125654,MI,PhD,4,"Python, Tableau, Java",2024-06-20,Automotive
AI00124,182275,EX,PhD,14,"Docker, AWS, Linux, Git, Azure",2025-04-19,Technology
AI00125,117708,MI,PhD,4,"PyTorch, Scala, Linux, Tableau, Deep Learning",2024-02-24,Transportation
AI00126,143246,EX,Master,11,"Docker, SQL, Kubernetes, Git, Statistics",2024-12-25,Healthcare
AI00127,203198,SE,Master,5,"Statistics, R, Python, TensorFlow",2024-12-04,Consulting
AI00128,69487,EN,Master,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",2024-11-04,Transportation
AI00129,95673,EX,Associate,17,"GCP, R, Azure, Deep Learning, PyTorch",2024-08-24,Technology
AI00130,59405,EN,Bachelor,1,"Spark, Python, Deep Learning, Linux, Java",2025-03-18,Consulting
AI00131,131756,SE,PhD,5,"AWS, R, Spark",2024-08-03,Technology
AI00132,42835,EN,Bachelor,0,"Python, TensorFlow, PyTorch",2025-03-02,Media
AI00133,61893,EN,Associate,1,"Statistics, Python, SQL",2024-03-28,Consulting
AI00134,141791,EX,PhD,13,"Hadoop, Azure, Python, R",2025-02-03,Media
AI00135,258637,EX,Master,11,"Computer Vision, GCP, Azure, SQL, Python",2025-01-16,Education
AI00136,49485,MI,Associate,2,"Hadoop, Java, Data Visualization",2024-08-09,Technology
AI00137,172916,SE,Bachelor,8,"Computer Vision, SQL, PyTorch, Java",2024-12-29,Manufacturing
AI00138,324557,EX,PhD,11,"Hadoop, Python, Git, TensorFlow",2024-11-06,Telecommunications
AI00139,73894,MI,Bachelor,4,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",2024-08-08,Consulting
AI00140,122598,SE,Associate,9,"Linux, AWS, Computer Vision, Deep Learning",2025-01-05,Media
AI00141,94478,MI,PhD,4,"PyTorch, TensorFlow, Hadoop, Python",2024-05-24,Retail
AI00142,53088,EN,PhD,1,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",2025-04-12,Finance
AI00143,116012,MI,Master,3,"SQL, MLOps, Python",2024-09-23,Automotive
AI00144,35593,EN,Bachelor,0,"Python, Hadoop, Deep Learning",2024-03-09,Media
AI00145,149053,EX,Master,17,"GCP, Linux, R, Hadoop",2024-11-17,Media
AI00146,88230,MI,Associate,4,"TensorFlow, Git, Azure, Python",2024-05-22,Education
AI00147,224919,EX,Associate,19,"Kubernetes, Deep Learning, PyTorch",2024-12-02,Education
AI00148,220439,EX,Associate,12,"SQL, Data Visualization, GCP, Deep Learning, MLOps",2024-03-30,Manufacturing
AI00149,48861,EN,Bachelor,0,"GCP, Python, Computer Vision, Git",2024-07-04,Healthcare
AI00150,115841,SE,PhD,7,"TensorFlow, Kubernetes, Deep Learning",2024-10-25,Healthcare
AI00151,57266,MI,Bachelor,3,"Computer Vision, PyTorch, Linux, TensorFlow",2024-08-11,Media
AI00152,66384,MI,Associate,2,"Git, Tableau, Hadoop, Computer Vision",2024-04-21,Government
AI00153,184637,EX,Bachelor,11,"R, SQL, Data Visualization",2024-05-23,Government
AI00154,92445,MI,Bachelor,4,"Linux, Python, Scala, Docker",2024-10-22,Technology
AI00155,57388,EN,Associate,1,"Python, GCP, TensorFlow",2024-01-12,Consulting
AI00156,53374,MI,PhD,2,"Docker, Deep Learning, R",2024-06-22,Government
AI00157,95716,SE,PhD,6,"Git, Spark, Azure, Statistics",2024-03-19,Media
AI00158,157091,MI,PhD,2,"Python, Java, Kubernetes, SQL, NLP",2025-03-04,Transportation
AI00159,204144,SE,PhD,8,"Hadoop, Mathematics, Linux",2024-12-12,Telecommunications
AI00160,190314,EX,PhD,12,"GCP, Computer Vision, Scala, AWS, Linux",2024-05-23,Government
AI00161,198403,EX,Associate,15,"Data Visualization, SQL, Scala",2024-03-14,Media
AI00162,153040,SE,Bachelor,7,"SQL, Tableau, Statistics, GCP",2024-06-25,Manufacturing
AI00163,51898,MI,Associate,2,"Deep Learning, Python, NLP",2024-10-05,Consulting
AI00164,115191,SE,Associate,7,"R, AWS, Git, Tableau",2024-07-10,Education
AI00165,170139,SE,Bachelor,5,"Python, Spark, Hadoop",2025-01-30,Technology
AI00166,63860,EN,Master,0,"Linux, TensorFlow, GCP, Docker, Azure",2024-08-02,Gaming
AI00167,125152,MI,PhD,3,"TensorFlow, Docker, AWS, Spark",2024-08-11,Retail
AI00168,61572,EN,Bachelor,0,"Linux, Azure, Kubernetes",2024-07-19,Healthcare
AI00169,101054,MI,Master,3,"Statistics, Tableau, Java, Data Visualization, NLP",2024-01-06,Transportation
AI00170,145355,EX,Master,13,"Spark, Linux, AWS, Deep Learning",2024-08-25,Media
AI00171,183484,EX,Master,19,"Scala, Data Visualization, TensorFlow, Mathematics, Java",2024-11-20,Gaming
AI00172,111997,MI,PhD,2,"PyTorch, Scala, Hadoop, Docker, Computer Vision",2025-03-15,Technology
AI00173,214195,EX,Bachelor,19,"Tableau, GCP, Python",2025-03-13,Manufacturing
AI00174,93211,SE,Master,9,"Python, TensorFlow, GCP, Java",2025-01-08,Manufacturing
AI00175,82209,EN,Master,1,"Statistics, TensorFlow, Python",2024-11-09,Transportation
AI00176,149669,SE,Associate,9,"Scala, Hadoop, Azure",2024-11-01,Retail
AI00177,56825,MI,Associate,3,"Linux, Azure, Git, Deep Learning, Spark",2024-07-11,Government
AI00178,131635,MI,PhD,2,"Kubernetes, Git, GCP, NLP",2024-03-10,Manufacturing
AI00179,163843,SE,PhD,7,"Scala, Python, Data Visualization, Kubernetes, Statistics",2024-09-20,Telecommunications
AI00180,73281,MI,Bachelor,2,"Deep Learning, Azure, Python",2025-01-28,Technology
AI00181,51907,MI,Associate,3,"Statistics, AWS, Java, PyTorch",2024-10-07,Technology
AI00182,178240,EX,Bachelor,12,"Python, Spark, TensorFlow",2024-06-01,Real Estate
AI00183,83226,SE,Master,7,"SQL, Docker, Linux, GCP",2024-11-19,Technology
AI00184,46995,EN,Master,1,"PyTorch, NLP, MLOps, Azure",2024-07-07,Finance
AI00185,275296,EX,Associate,14,"Docker, Azure, NLP",2024-02-06,Transportation
AI00186,300422,EX,Bachelor,11,"Python, TensorFlow, R",2024-09-30,Education
AI00187,116704,MI,Bachelor,2,"SQL, PyTorch, NLP, Data Visualization",2024-03-30,Finance
AI00188,98422,EN,PhD,0,"Java, Python, Mathematics",2024-05-23,Transportation
AI00189,210249,EX,Master,15,"Mathematics, Docker, Deep Learning",2024-12-20,Gaming
AI00190,67708,MI,Master,3,"NLP, R, Scala, Computer Vision, Azure",2024-06-10,Manufacturing
AI00191,95796,EX,Master,13,"Python, TensorFlow, Scala, AWS",2024-10-15,Consulting
AI00192,229098,EX,Master,17,"PyTorch, SQL, Kubernetes, Git, Java",2024-02-01,Government
AI00193,134300,EX,Master,11,"Java, Python, Deep Learning, Statistics",2024-07-14,Education
AI00194,74408,EN,Associate,1,"TensorFlow, Docker, R, NLP, Java",2024-08-07,Automotive
AI00195,201971,EX,PhD,13,"Java, Scala, Tableau",2024-07-17,Technology
AI00196,180764,EX,Master,17,"GCP, TensorFlow, Data Visualization",2025-02-17,Gaming
AI00197,49644,EN,Bachelor,0,"Linux, PyTorch, TensorFlow, Azure, Python",2025-02-15,Finance
AI00198,89115,SE,Master,7,"MLOps, Python, Linux, NLP",2025-03-22,Energy
AI00199,38540,EN,Associate,1,"Linux, Kubernetes, Spark, Java",2025-01-29,Technology
AI00200,180252,SE,Master,7,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",2024-02-14,Telecommunications
AI00201,56585,EN,Master,1,"MLOps, Java, AWS, NLP, PyTorch",2024-10-25,Gaming
AI00202,103942,SE,PhD,5,"Statistics, Python, TensorFlow",2025-02-07,Education
AI00203,176009,SE,Bachelor,9,"PyTorch, SQL, TensorFlow, Git, Azure",2024-02-25,Automotive
AI00204,59056,MI,Associate,2,"Scala, SQL, Deep Learning, Statistics, GCP",2024-08-23,Healthcare
AI00205,76940,MI,Associate,3,"AWS, Scala, Docker",2025-03-29,Transportation
AI00206,110341,SE,PhD,7,"Spark, Kubernetes, Mathematics",2025-03-20,Retail
AI00207,102922,MI,Associate,4,"Python, SQL, Git",2024-06-14,Government
AI00208,44130,EN,Master,0,"Python, GCP, Docker, Git, Java",2024-11-22,Technology
AI00209,128112,SE,Associate,5,"Mathematics, Hadoop, Tableau",2024-11-26,Telecommunications
AI00210,48892,EN,Bachelor,0,"Linux, Python, NLP",2024-10-08,Consulting
AI00211,127478,MI,Master,4,"Java, Docker, Hadoop",2025-03-26,Transportation
AI00212,100524,SE,PhD,6,"Python, Kubernetes, Statistics, TensorFlow",2024-03-29,Gaming
AI00213,45429,EN,Associate,0,"GCP, Deep Learning, Python, MLOps",2024-09-14,Gaming
AI00214,62262,MI,Bachelor,4,"R, SQL, AWS, MLOps, Data Visualization",2025-03-19,Healthcare
AI00215,68595,MI,Master,4,"Azure, Python, TensorFlow, Data Visualization",2024-01-30,Manufacturing
AI00216,301038,EX,PhD,18,"GCP, Azure, Deep Learning, Spark, SQL",2025-04-15,Media
AI00217,46253,EN,Associate,1,"MLOps, Data Visualization, Git, TensorFlow, Hadoop",2025-04-15,Government
AI00218,59644,EN,Associate,0,"R, Docker, GCP, Java",2024-04-20,Consulting
AI00219,53960,MI,Master,3,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",2024-07-15,Telecommunications
AI00220,94894,EN,Associate,1,"AWS, Hadoop, Python, Scala, Computer Vision",2025-03-02,Real Estate
AI00221,91611,SE,Associate,5,"PyTorch, SQL, Kubernetes",2024-09-08,Finance
AI00222,285880,EX,Master,18,"SQL, Linux, Tableau, MLOps, Spark",2024-04-15,Finance
AI00223,115263,MI,Bachelor,3,"Mathematics, Hadoop, Scala, NLP, Kubernetes",2025-01-25,Finance
AI00224,51882,MI,Associate,3,"Scala, R, SQL",2024-02-07,Technology
AI00225,82051,MI,Master,2,"Java, Python, MLOps, Docker",2025-04-20,Automotive
AI00226,122331,SE,PhD,5,"SQL, NLP, Python",2025-02-08,Retail
AI00227,159643,SE,Master,5,"Data Visualization, Linux, GCP, Hadoop",2024-01-27,Gaming
AI00228,254305,EX,Bachelor,15,"Hadoop, Python, Linux, Mathematics",2024-03-09,Transportation
AI00229,52027,MI,Master,2,"Kubernetes, Linux, Tableau, MLOps, Statistics",2024-04-18,Retail
AI00230,43072,EN,Associate,0,"Docker, PyTorch, Spark, TensorFlow, NLP",2025-01-15,Energy
AI00231,87011,MI,PhD,4,"Tableau, Linux, PyTorch, Java, AWS",2025-03-30,Gaming
AI00232,36734,EN,Master,1,"Azure, Python, Mathematics",2024-10-11,Media
AI00233,84897,MI,Associate,3,"TensorFlow, Linux, Deep Learning, Hadoop",2024-10-07,Manufacturing
AI00234,173839,SE,Bachelor,5,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",2025-02-04,Government
AI00235,59357,EN,Master,0,"NLP, Tableau, Kubernetes, SQL, GCP",2024-03-22,Transportation
AI00236,51431,EN,Associate,0,"Scala, Python, Data Visualization",2024-06-20,Transportation
AI00237,96506,SE,PhD,5,"Hadoop, Spark, Kubernetes, Scala",2024-07-03,Finance
AI00238,59198,EN,Master,1,"Linux, Kubernetes, Data Visualization, TensorFlow, Docker",2025-04-27,Manufacturing
AI00239,223757,EX,PhD,12,"Git, Statistics, Data Visualization, Python, Scala",2025-03-29,Education
AI00240,74322,EN,Bachelor,1,"Hadoop, Spark, Tableau, R, Python",2024-12-16,Gaming
AI00241,120749,MI,Associate,2,"TensorFlow, MLOps, Kubernetes, SQL, Java",2024-07-01,Retail
AI00242,138212,EX,Master,15,"Hadoop, Azure, Java, MLOps",2024-02-19,Media
AI00243,199039,EX,Master,15,"Git, Docker, Statistics, Mathematics",2024-09-19,Real Estate
AI00244,105699,SE,PhD,6,"Spark, Git, Hadoop",2025-02-11,Healthcare
AI00245,38497,EN,Bachelor,0,"Python, Mathematics, PyTorch, Spark",2025-03-06,Consulting
AI00246,63141,MI,Associate,3,"R, Azure, MLOps",2024-12-09,Manufacturing
AI00247,87871,SE,Master,9,"Git, Statistics, Mathematics, Hadoop, Java",2025-02-02,Telecommunications
AI00248,255678,EX,Bachelor,18,"SQL, Statistics, Mathematics, TensorFlow, GCP",2024-04-12,Telecommunications
AI00249,132056,SE,Master,7,"Java, Azure, Tableau, Python",2024-10-05,Gaming
AI00250,146085,SE,Associate,6,"Git, Scala, NLP, Python",2024-11-09,Technology
AI00251,85037,MI,Master,3,"PyTorch, Python, Deep Learning, SQL, MLOps",2024-10-17,Finance
AI00252,42661,EN,Bachelor,1,"Python, Linux, Tableau, SQL, MLOps",2024-12-25,Finance
AI00253,119706,SE,Associate,7,"TensorFlow, Hadoop, Python, Java, Docker",2024-09-13,Retail
AI00254,110064,EX,Bachelor,10,"PyTorch, Java, Kubernetes",2024-10-10,Finance
AI00255,91090,SE,Associate,9,"Azure, PyTorch, NLP, TensorFlow",2025-01-28,Telecommunications
AI00256,80307,MI,Master,4,"Spark, Java, GCP",2024-08-28,Retail
AI00257,107321,MI,Master,3,"SQL, Python, GCP",2025-03-04,Technology
AI00258,59373,EN,PhD,0,"Python, GCP, Mathematics, Scala, Deep Learning",2024-07-17,Gaming
AI00259,65191,EN,Master,0,"GCP, Python, Azure, Scala",2024-01-20,Education
AI00260,152969,EX,Associate,16,"TensorFlow, PyTorch, Spark",2025-04-19,Government
AI00261,147893,SE,Associate,8,"R, Python, Data Visualization, TensorFlow",2024-05-05,Healthcare
AI00262,69807,EN,Bachelor,0,"Data Visualization, Scala, Python, SQL, Linux",2024-12-14,Transportation
AI00263,67824,EN,Bachelor,0,"Java, AWS, GCP, Spark",2024-05-06,Gaming
AI00264,141523,EX,Associate,10,"AWS, Mathematics, Linux",2024-01-21,Manufacturing
AI00265,122796,SE,PhD,9,"Scala, AWS, Spark, Deep Learning",2024-08-20,Healthcare
AI00266,81885,MI,PhD,3,"Scala, GCP, MLOps, Python, Computer Vision",2024-12-07,Retail
AI00267,118505,SE,Bachelor,5,"Scala, Mathematics, MLOps, Python",2025-03-15,Government
AI00268,133565,SE,Master,5,"R, Git, Statistics, Spark, Python",2024-12-21,Media
AI00269,60019,EN,PhD,1,"Java, Kubernetes, Tableau",2024-03-11,Government
AI00270,76875,EN,Bachelor,0,"Docker, Hadoop, PyTorch, Python, Java",2024-04-15,Transportation
AI00271,64400,EN,Bachelor,1,"AWS, R, Python",2024-10-20,Transportation
AI00272,68857,MI,Master,3,"MLOps, Data Visualization, Deep Learning, Python",2025-01-27,Government
AI00273,97840,SE,Bachelor,7,"R, Linux, AWS",2024-06-06,Technology
AI00274,168619,EX,Bachelor,18,"Azure, Git, SQL, NLP, Docker",2024-07-04,Automotive
AI00275,118132,SE,Associate,8,"Git, NLP, MLOps",2024-12-17,Education
AI00276,81112,SE,PhD,7,"Java, Git, Data Visualization, SQL, Kubernetes",2025-03-03,Consulting
AI00277,111502,MI,Master,4,"Git, Java, MLOps",2024-08-31,Energy
AI00278,151610,SE,Associate,5,"TensorFlow, Kubernetes, Git, Computer Vision, Statistics",2025-04-03,Retail
AI00279,95128,SE,Bachelor,7,"Linux, Statistics, MLOps, Computer Vision, Deep Learning",2024-12-15,Government
AI00280,136733,SE,PhD,8,"Tableau, GCP, SQL, MLOps",2025-03-21,Gaming
AI00281,69822,MI,Bachelor,3,"GCP, R, Python, Kubernetes",2024-06-26,Finance
AI00282,88380,EN,Bachelor,0,"Azure, Python, Data Visualization",2025-04-18,Automotive
AI00283,199482,EX,Bachelor,18,"PyTorch, Scala, NLP, GCP",2025-02-17,Transportation
AI00284,56268,MI,Bachelor,4,"Java, Hadoop, Deep Learning, TensorFlow",2025-03-08,Automotive
AI00285,142301,EX,Master,12,"Deep Learning, Statistics, Docker",2024-03-14,Telecommunications
AI00286,178371,EX,Associate,15,"Spark, Python, Tableau",2025-04-08,Energy
